Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
4_wine,up_chain03_datawig,1,OD280%2FOD315_of_diluted_wines,0.1496140335985134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Alcohol,0.20895816569821038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Nonflavanoid_phenols,0.2202304167276734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Total_phenols,0.37652620241102275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Proline,0.364399439958601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Proanthocyanins,0.287456003685725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Hue,0.11576117730232716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Malic_acid,0.2453557447442874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Flavanoids,0.17984327019219204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Color_intensity,0.2889240927631426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Alcalinity_of_ash,0.23546462655951647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Magnesium,0.355611540534229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,1,Ash,0.1781640079611673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,2,OD280%2FOD315_of_diluted_wines,,0.16513421982900311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,2,Alcohol,,0.16797685272958254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,2,Nonflavanoid_phenols,,0.15462343034130221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,2,Total_phenols,,0.38622804280925455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,2,Proline,,0.4327991241851457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,up_chain03_datawig,2,Proanthocyanins,,0.3409113140315181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
