Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
6_chess,up_chain03_datawig,1,Black King rank,0.29363882290421756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,1,White Rook file,0.2957019041302962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,1,White Rook rank,0.2890573180359896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,1,Black King file,0.29350327521290237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,1,White King rank,0.2692304419568077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,1,White King file,0.2822214189821071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,2,Black King rank,,0.289105367897063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,2,White Rook file,,0.2864594078754375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,2,White Rook rank,,0.2958838534373331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,2,Black King file,,0.28819258229595884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,2,White King rank,,0.2716868184382718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,2,White King file,,0.2775934507609827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,3,Black King rank,,,0.2773610398872046,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,3,White Rook file,,,0.2882532356658006,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,3,White Rook rank,,,0.2912099551831005,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,3,Black King file,,,0.29243732820820223,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,3,White King rank,,,0.2693400234339903,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,3,White King file,,,0.2739672684570728,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,4,Black King rank,,,,0.28127373536951633,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,4,White Rook file,,,,0.29004249978274504,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,4,White Rook rank,,,,0.2942518038439655,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,4,Black King file,,,,0.2961254365291483,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,4,White King rank,,,,0.27767565856947507,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,4,White King file,,,,0.2800633060458311,,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,5,Black King rank,,,,,0.2923995473188574,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,5,White Rook file,,,,,0.29074203576765606,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,5,White Rook rank,,,,,0.2890377437513529,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,5,Black King file,,,,,0.2990518031956615,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,5,White King rank,,,,,0.27653914945947766,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,5,White King file,,,,,0.2831428914366561,,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,6,Black King rank,,,,,,0.2842585796823888,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,6,White Rook file,,,,,,0.29096886852721715,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,6,White Rook rank,,,,,,0.293841263950347,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,6,Black King file,,,,,,0.295608838419707,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,6,White King rank,,,,,,0.26795705284229654,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,6,White King file,,,,,,0.2842760893310997,,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,7,Black King rank,,,,,,,0.2814975270442771,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,7,White Rook file,,,,,,,0.2939082139861076,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,7,White Rook rank,,,,,,,0.30276077805754636,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,7,Black King file,,,,,,,0.2947283969842505,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,7,White King rank,,,,,,,0.2714241894620567,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,7,White King file,,,,,,,0.27941434560183875,,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,8,Black King rank,,,,,,,,0.2961042568475476,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,8,White Rook file,,,,,,,,0.2889756677278647,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,8,White Rook rank,,,,,,,,0.301372056824873,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,8,Black King file,,,,,,,,0.2933839833239475,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,8,White King rank,,,,,,,,0.2726635565423763,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,8,White King file,,,,,,,,0.2790289536850322,,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,9,Black King rank,,,,,,,,,0.29409249965443895,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,9,White Rook file,,,,,,,,,0.2748612161349116,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,9,White Rook rank,,,,,,,,,0.2914944149188306,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,9,Black King file,,,,,,,,,0.29400871189858196,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,9,White King rank,,,,,,,,,0.2647453809569813,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,9,White King file,,,,,,,,,0.27738176122186936,,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,10,Black King rank,,,,,,,,,,0.28505402854373013,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,10,White Rook file,,,,,,,,,,0.2952589557505242,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,10,White Rook rank,,,,,,,,,,0.29418767210024716,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,10,Black King file,,,,,,,,,,0.29831139802237655,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,10,White King rank,,,,,,,,,,0.27922756102362156,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,10,White King file,,,,,,,,,,0.28391258197221925,,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,11,Black King rank,,,,,,,,,,,0.2834783025021264,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,11,White Rook file,,,,,,,,,,,0.2890495499455947,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,11,White Rook rank,,,,,,,,,,,0.29338321265256895,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,11,Black King file,,,,,,,,,,,0.2938825486226102,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,11,White King rank,,,,,,,,,,,0.27010435455989634,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,11,White King file,,,,,,,,,,,0.2727009941116212,,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,12,Black King rank,,,,,,,,,,,,0.2973517335905206,,,,,,,,,,,,,,,,,,
6_chess,up_chain03_datawig,12,White Rook file,,,,,,,,,,,,0.29326155419929256,,,,,,,,,,,,,,,,,,
