Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
8_liver,up_chain03_datawig,1,alkphos,0.17692625361955674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,1,mcv,0.17965294551162955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,1,sgot,0.12270763727835837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,1,sgpt,0.07681251758898233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,1,gammagt,0.21472624624984732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,1,selector,0.44392227633276077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,2,alkphos,,0.3220663437103511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,2,mcv,,0.14650896866801244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,2,sgot,,0.3168770150677004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,2,sgpt,,0.13008996090965547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,2,gammagt,,0.1354429806544251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,2,selector,,0.49489547375308707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,3,alkphos,,,0.15089296352661,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,3,mcv,,,0.18209420399680962,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,3,sgot,,,0.18704106005382007,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,3,sgpt,,,0.19497290678794157,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,3,gammagt,,,0.17242478194272,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,3,selector,,,0.3930413315182788,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,4,alkphos,,,,0.1888807426343746,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,4,mcv,,,,0.1117991596190273,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,4,sgot,,,,0.16773997103457533,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,4,sgpt,,,,0.30190346136508023,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,4,gammagt,,,,0.11728986911444687,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,4,selector,,,,0.4130304217879824,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,5,alkphos,,,,,0.25548979561216945,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,5,mcv,,,,,0.2193412885578754,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,5,sgot,,,,,0.19390066539839207,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,5,sgpt,,,,,0.11494228638229594,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,5,gammagt,,,,,0.16890635174869384,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,5,selector,,,,,0.5205377938655981,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,6,alkphos,,,,,,0.1949996262285276,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,6,mcv,,,,,,0.17888173799448945,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,6,sgot,,,,,,0.1199621266810142,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,6,sgpt,,,,,,0.16789150610718298,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,6,gammagt,,,,,,0.08559248686693248,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,6,selector,,,,,,0.5853461785073792,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,7,alkphos,,,,,,,0.2412271320331221,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,7,mcv,,,,,,,0.14900521168986625,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,7,sgot,,,,,,,0.23673461801832354,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,7,sgpt,,,,,,,0.2601102686403396,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,7,gammagt,,,,,,,0.16039682256304283,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,7,selector,,,,,,,0.5011144834136007,,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,8,alkphos,,,,,,,,0.17816454222909747,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,8,mcv,,,,,,,,0.26912601895639826,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,8,sgot,,,,,,,,0.20280167560360343,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,8,sgpt,,,,,,,,0.23747387347054888,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,8,gammagt,,,,,,,,0.2731196829242538,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,8,selector,,,,,,,,0.41990376102305343,,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,9,alkphos,,,,,,,,,0.25322072922551137,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,9,mcv,,,,,,,,,0.11659752243705794,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,9,sgot,,,,,,,,,0.09676672314777027,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,9,sgpt,,,,,,,,,0.27282703770317446,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,9,gammagt,,,,,,,,,0.3481798056013641,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,9,selector,,,,,,,,,0.477116594765997,,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,10,alkphos,,,,,,,,,,0.10918677657800241,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,10,mcv,,,,,,,,,,0.0989118435471851,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,10,sgot,,,,,,,,,,0.15457477631295333,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,10,sgpt,,,,,,,,,,0.17214359060637113,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,10,gammagt,,,,,,,,,,0.2078013081509718,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,10,selector,,,,,,,,,,0.4615409622999014,,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,11,alkphos,,,,,,,,,,,0.19510261158478145,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,11,mcv,,,,,,,,,,,0.1325112877198664,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,11,sgot,,,,,,,,,,,0.3913532986937638,,,,,,,,,,,,,,,,,,,
8_liver,up_chain03_datawig,11,sgpt,,,,,,,,,,,0.13402584487307106,,,,,,,,,,,,,,,,,,,
