Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
9_abalone,up_chain03_datawig,1,Viscera weight,0.30483482576654175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,1,Length,0.16313515085726304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,1,Diameter,0.16364357288736073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,1,Whole weight,0.14603688368086817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,1,Shucked weight,0.15040556623232332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,1,Shell weight,0.16121623097533672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,1,Rings,0.1134876261109158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,1,Height,0.1737573585172852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,2,Viscera weight,,0.1840263332752365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,2,Length,,0.16891811471489673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,2,Diameter,,0.16816544428325056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,2,Whole weight,,0.1662397238074352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,2,Shucked weight,,0.16721076017537162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,2,Shell weight,,0.1582185051517807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,2,Rings,,0.1269899979710368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,2,Height,,0.17318272970071186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,3,Viscera weight,,,0.1683342340577529,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,3,Length,,,0.16695135725915694,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,3,Diameter,,,0.16919736273484373,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,3,Whole weight,,,0.1623038281498736,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,3,Shucked weight,,,0.13801041119558669,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,3,Shell weight,,,0.17722655495981787,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,3,Rings,,,0.14670435948565336,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,3,Height,,,0.13666001627325594,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,4,Viscera weight,,,,0.1566328170779351,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,4,Length,,,,0.17647179027901003,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,4,Diameter,,,,0.1790546256269038,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,4,Whole weight,,,,0.16247162570189339,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,4,Shucked weight,,,,0.14819253587380843,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,4,Shell weight,,,,0.15686060474279906,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,4,Rings,,,,0.14373094641177847,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,4,Height,,,,0.15027492928144937,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,5,Viscera weight,,,,,0.1677340777504077,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,5,Length,,,,,0.19506936439971398,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,5,Diameter,,,,,0.15387024203757266,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,5,Whole weight,,,,,0.18415200817521055,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,5,Shucked weight,,,,,0.16009645849273405,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,5,Shell weight,,,,,0.11430041653349264,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,5,Rings,,,,,0.14043476950836806,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,5,Height,,,,,0.17953147458901644,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,6,Viscera weight,,,,,,0.25073006866370706,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,6,Length,,,,,,0.1772616015555694,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,6,Diameter,,,,,,0.16810768966421377,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,6,Whole weight,,,,,,0.15741085481670086,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,6,Shucked weight,,,,,,0.14024185811245424,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,up_chain03_datawig,6,Shell weight,,,,,,0.15596303441294454,,,,,,,,,,,,,,,,,,,,,,,,
